"x","y","trans","vol","min","max","bath","date","site"
9.5,146.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-24.5,145.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-23.5,145.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-22.5,145.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-21.5,145.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-20.5,145.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-19.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-8.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-7.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-6.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-5.5,145.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-4.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-3.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-2.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-1.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-0.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
0.5,145.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
1.5,145.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
2.5,145.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
3.5,145.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
4.5,145.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
5.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
6.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
7.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
8.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
9.5,145.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-24.5,144.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-23.5,144.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-22.5,144.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-21.5,144.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-20.5,144.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-19.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,144.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,144.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-8.5,144.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-7.5,144.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-6.5,144.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-5.5,144.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-4.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-3.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-2.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-1.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-0.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
0.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
1.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
2.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
3.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
4.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
5.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
6.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
7.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
8.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
9.5,144.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-24.5,143.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-23.5,143.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-22.5,143.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-21.5,143.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-20.5,143.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-19.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,143.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,143.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-8.5,143.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-7.5,143.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-6.5,143.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-5.5,143.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-4.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-3.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-2.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-1.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-0.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
0.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
1.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
2.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
3.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
4.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
5.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
6.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
7.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
8.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
9.5,143.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-24.5,142.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-23.5,142.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-22.5,142.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-21.5,142.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-20.5,142.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-19.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
